0	0.56025	0
0.56025	0.70025	1
0.70025	0.80025	2
0.80025	0.94025	3
0.94025	1.12025	4
1.12025	1.26025	1
1.26025	1.38025	2
1.38025	1.48025	3
1.48025	1.66025	4
1.66025	1.78025	1
1.78025	1.90025	2
1.90025	2.02025	3
2.02025	2.18025	4
2.18025	2.30025	1
2.30025	2.40025	2
2.40025	2.52025	3
2.52025	2.68025	4
2.68025	2.80025	1
2.80025	2.92025	2
2.92025	3.02025	3
3.02025	3.18025	4
3.18025	3.30025	1
3.30025	3.42025	2
3.42025	3.50025	3
3.50025	3.68025	4
3.68025	3.82025	1
3.82025	3.94025	2
3.94025	4.04025	3
4.04025	4.22025	4
4.22025	4.32025	1
4.32025	4.44025	2
4.44025	4.56025	3
4.56025	4.72025	4
4.72025	4.86025	1
4.86025	4.94025	2
4.94025	5.06025	3
5.06025	5.22025	4
5.22025	5.38025	1
5.38025	5.46025	2
5.46025	5.58025	3
5.58025	5.74025	4
5.74025	5.88025	1
5.88025	5.98025	2
5.98025	6.08025	3
6.08025	6.26025	4
6.26025	6.38025	1
6.38025	6.50025	2
6.50025	6.60025	3
6.60025	6.78025	4
6.78025	6.94025	1
6.94025	7.04025	2
7.04025	7.14025	3
7.14025	7.30025	4
7.30025	7.46025	1
7.46025	7.54025	2
7.54025	7.66025	3
7.66025	7.84025	4
7.84025	7.98025	1
7.98025	8.08025	2
8.08025	8.18025	3
8.18025	8.36025	4
8.36025	8.52025	1
8.52025	8.62025	2
8.62025	8.74025	3
8.74025	8.92025	4
8.92025	9.04025	1
9.04025	9.16025	2
9.16025	9.28025	3
9.28025	9.46025	4
9.46025	9.62025	1
9.62025	9.74025	2
9.74025	9.84025	3
9.84025	10.00025	4
10.00025	10.14025	1
10.14025	10.26025	2
10.26025	10.38025	3
10.38025	10.56025	4
10.56025	10.68025	1
10.68025	10.82025	2
10.82025	10.92025	3
10.92025	11.10025	4
11.10025	11.24025	1
11.24025	11.34025	2
11.34025	11.44025	3
11.44025	11.62025	4
11.62025	11.78025	1
11.78025	11.88025	2
11.88025	11.98025	3
11.98025	12.16025	4
12.16025	12.30025	1
12.30025	12.42025	2
12.42025	12.52025	3
12.52025	12.68025	4
12.68025	12.80025	1
12.80025	12.94025	2
12.94025	13.06025	3
13.06025	13.22025	4
13.22025	13.36025	1
13.36025	13.46025	2
13.46025	13.58025	3
13.58025	13.76025	4
13.76025	13.92025	1
13.92025	14.04025	2
14.04025	14.14025	3
14.14025	14.32025	4
14.32025	14.44025	1
14.44025	14.60025	2
14.60025	14.70025	3
14.70025	14.88025	4
14.88025	15.00025	1
15.00025	15.14025	2
15.14025	15.26025	3
15.26025	15.46025	4
15.46025	15.60025	1
15.60025	15.72025	2
15.72025	15.82025	3
15.82025	16.04025	4
16.04025	16.22025	1
16.22025	16.34025	2
16.34025	16.46025	3
16.46025	16.68025	4
16.68025	16.84025	1
16.84025	16.96025	2
16.96025	17.10025	3
17.10025	17.32025	4
17.32025	17.44025	1
17.44025	17.58025	2
17.58025	17.68025	3
17.68025	17.88025	4
17.88025	18.02025	1
18.02025	18.16025	2
18.16025	18.28025	3
18.28025	18.48025	4
18.48025	18.60025	1
18.60025	18.76025	2
18.76025	18.86025	3
18.86025	19.08025	4
19.08025	19.20025	1
19.20025	19.36025	2
19.36025	19.46025	3
19.46025	19.68025	4
19.68025	19.80025	1
19.80025	19.92025	2
19.92025	20.04025	3
20.04025	20.24025	4
20.24025	20.36025	1
20.36025	20.52025	2
20.52025	20.60025	3
20.60025	20.80025	4
20.80025	20.94025	1
20.94025	22.8	0
